"CODE","DESCRIPTION_DE","DESCRIPTION_PL","NAME_DE","NAME_PL"
"4649","","PL ","Nakłuwacz do mięsa","PL Nakłuwacz do mięsa"
"4111","<ul><li>Zabezpiecza przed pryskaniem tłuszczu</li><li>Średnica: 28,5 cm</li></ul>","PL <ul><li>Zabezpiecza przed pryskaniem tłuszczu</li><li>Średnica: 28,5 cm</li></ul>","Okrągła pokrywka ochronna","PL Okrągła pokrywka ochronna"
"4399","<center>
<p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_W5HWm5YRho"" frameborder=""0""></iframe></p>
</center>","PL <center>
<p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_W5HWm5YRho"" frameborder=""0""></iframe></p>
</center>","Profesjonalna tarka - płatki","PL Profesjonalna tarka - płatki"
"4398","","PL ","Profesjonalna tarka - wiórki","PL Profesjonalna tarka - wiórki"
"4702","","PL ","Tarka ręczna","PL Tarka ręczna"
"4344","<center><p></p></center>","PL <center><p></p></center>","Praska do czosnku","PL Praska do czosnku"
"4275","<p>Szczelnie zamykane, gwarantują, że warzywa dłużej pozostaną świeże i pełne aromatu. Gdy włożysz je w pojemnikach do lodówki, inne przechowywane w niej produkty nie ""przejdą"" intensywnym zapachem.</p><ul><li>Wykonane z mocnego tworzywa</li></ul>","PL <p>Szczelnie zamykane, gwarantują, że warzywa dłużej pozostaną świeże i pełne aromatu. Gdy włożysz je w pojemnikach do lodówki, inne przechowywane w niej produkty nie ""przejdą"" intensywnym zapachem.</p><ul><li>Wykonane z mocnego tworzywa</li></ul>","Pojemnik na czosnek","PL Pojemnik na czosnek"
"4499","<ul>
<li>Głęboka i pojemna</li>
<li>Wygodnie odcedzisz nią sporą porcję warzyw, pierogów, klusek, wyjmiesz frytki, sajgonki, pączki czy falafele z oleju</li>
<li>Wykonana z metalu</li>
<li>Średnica: 14 cm, długość rączki: 21 cm</li>
</ul>","PL <ul>
<li>Głęboka i pojemna</li>
<li>Wygodnie odcedzisz nią sporą porcję warzyw, pierogów, klusek, wyjmiesz frytki, sajgonki, pączki czy falafele z oleju</li>
<li>Wykonana z metalu</li>
<li>Średnica: 14 cm, długość rączki: 21 cm</li>
</ul>","Sitko - cedzak stalowy","PL Sitko - cedzak stalowy"
"4405","<p>Idealny do mycia drobnych warzyw i owoców oraz odcedzania.</p>
<ul>
<li>Ma stabilną podstawę i długą, poręczną rączkę</li>
<li>Po złożeniu na płasko zajmuje mało miejsca</li>
<li>Wykonany z silikonu wysokiej jakości i tworzywa</li>
<li>31 x 14 x 6 cm</li>
</ul>","PL <p>Idealny do mycia drobnych warzyw i owoców oraz odcedzania.</p>
<ul>
<li>Ma stabilną podstawę i długą, poręczną rączkę</li>
<li>Po złożeniu na płasko zajmuje mało miejsca</li>
<li>Wykonany z silikonu wysokiej jakości i tworzywa</li>
<li>31 x 14 x 6 cm</li>
</ul>","Składany durszlak silikonowy","PL Składany durszlak silikonowy"
"4422","<p>Wielofunkcyjny składany owalny durszlak wykonany z silikonu.</p>
<ul>
<li>Po złożeniu zajmuje mało miejsca w szufladzie</li>
<li>Można także powiesić go na haczyku</li>
<li>30 x 23 x 10 cm</li>
</ul>","PL <p>Wielofunkcyjny składany owalny durszlak wykonany z silikonu.</p>
<ul>
<li>Po złożeniu zajmuje mało miejsca w szufladzie</li>
<li>Można także powiesić go na haczyku</li>
<li>30 x 23 x 10 cm</li>
</ul>","Składany durszlak silikonowy – duży","PL Składany durszlak silikonowy – duży"
"4662","","PL ","Pojemnik do ryżu - Bordo","PL Pojemnik do ryżu - Bordo"
"4653","","PL ","Lejek / nalewak / dzióbek silikonowy na garnek","PL Lejek / nalewak / dzióbek silikonowy na garnek"
"4534","<p>Łatwiej i szybciej ""wyłowisz"" coś z garnka!</p><ul><li>Chochla ma z jednej strony cedzak ułatwiający wyjęcie warzyw z rosołu, dań z woka, odcedzenie klusek</li><li>Wykonana z trwałego tworzywa</li><li>Długość: 25 cm, średnica cedzaka: 7,5 cm</li></ul>","PL <p>Łatwiej i szybciej ""wyłowisz"" coś z garnka!</p><ul><li>Chochla ma z jednej strony cedzak ułatwiający wyjęcie warzyw z rosołu, dań z woka, odcedzenie klusek</li><li>Wykonana z trwałego tworzywa</li><li>Długość: 25 cm, średnica cedzaka: 7,5 cm</li></ul>","Chochla z sitkiem i dziubkiem - czarny","PL Chochla z sitkiem i dziubkiem - czarny"
"368500","<p>Pojemna i głęboka. Wygodnie odcedzisz nią sporą porcję warzyw, pierogów, uszek.</p><ul><li>Z wygodnie wyprofilowanym uchwytem</li><li>Wykonana z trwałego tworzywa</li><li>Wymiary: 33 x 12 x 6 cm</li></ul>","PL <p>Pojemna i głęboka. Wygodnie odcedzisz nią sporą porcję warzyw, pierogów, uszek.</p><ul><li>Z wygodnie wyprofilowanym uchwytem</li><li>Wykonana z trwałego tworzywa</li><li>Wymiary: 33 x 12 x 6 cm</li></ul>","Łyżka cedzakowa","PL Łyżka cedzakowa"
"4608","","PL ","ZESTAW  4 MAT KUCHENNYCH 38*30,5 cm","PL ZESTAW  4 MAT KUCHENNYCH 38*30,5 cm"
"367931","<p><iframe width=""1170"" height=""800"" src=""//orbitvu.co/share/UjRveLm5nCAbHHmtTJkxzn/2738337/360/iframe?width=auto&amp;height=auto&amp;content2=yes&amp;partial_load=yes"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"">

Could not load //orbitvu.co/share/UjRveLm5nCAbHHmtTJkxzn/2738337/360/iframe?width=auto&amp;height=auto&amp;content2=yes&amp;partial_load=yes

</iframe></p>","PL <p><iframe width=""1170"" height=""800"" src=""//orbitvu.co/share/UjRveLm5nCAbHHmtTJkxzn/2738337/360/iframe?width=auto&amp;height=auto&amp;content2=yes&amp;partial_load=yes"" scrolling=""no"" marginwidth=""0"" marginheight=""0"" frameborder=""0"">

Could not load //orbitvu.co/share/UjRveLm5nCAbHHmtTJkxzn/2738337/360/iframe?width=auto&amp;height=auto&amp;content2=yes&amp;partial_load=yes

</iframe></p>","Uchwyt do krojenia warzyw i owoców na plasterki","PL Uchwyt do krojenia warzyw i owoców na plasterki"
"4562","<p>Ruchoma konstrukcja ostrzy umożliwia obieranie warzyw i owoców w obu kierunkach.</p>
<ul>
<li>Ostrza dobrze przylegają do obieranej powierzchni</li>
<li>Doskonała także do robienia cienkich pasków typu julienne</li>
<li>Z otworkiem do powieszenia</li>
<li>Można myć w zmywarce</li>
<li>Wykonana ze stali nierdzewnej</li>
</ul>","PL <p>Ruchoma konstrukcja ostrzy umożliwia obieranie warzyw i owoców w obu kierunkach.</p>
<ul>
<li>Ostrza dobrze przylegają do obieranej powierzchni</li>
<li>Doskonała także do robienia cienkich pasków typu julienne</li>
<li>Z otworkiem do powieszenia</li>
<li>Można myć w zmywarce</li>
<li>Wykonana ze stali nierdzewnej</li>
</ul>","Obieraczka do warzyw","PL Obieraczka do warzyw"
"4445","","PL ","Obieraczka do warzyw ","PL Obieraczka do warzyw "
"4714","","PL ","Kiełkownica - bez nasionek","PL Kiełkownica - bez nasionek"
"4444","<p>Bardziej uniwersalne niż pokrywki!</p><ul><li>Osłonki z mocnym ściągaczem, które pasują na naczynia o różnych średnicach: 12, 18, 22 i 26 cm</li><li>Wykonane z tworzywa foliowego</li><li>4 sztuki</li></ul>","PL <p>Bardziej uniwersalne niż pokrywki!</p><ul><li>Osłonki z mocnym ściągaczem, które pasują na naczynia o różnych średnicach: 12, 18, 22 i 26 cm</li><li>Wykonane z tworzywa foliowego</li><li>4 sztuki</li></ul>","Zestaw osłonek na żywność","PL Zestaw osłonek na żywność"
"4321","<center>
<p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xMpf9gIoQQI"" frameborder=""0""></iframe></p>
</center>","PL <center>
<p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xMpf9gIoQQI"" frameborder=""0""></iframe></p>
</center>","Silikonowe osłonki na naczynia","PL Silikonowe osłonki na naczynia"
"4500","","PL ","Wirówka do sałaty i ziół","PL Wirówka do sałaty i ziół"
"4414","","PL ","Zaczepiany składany pojemnik na odpadki","PL Zaczepiany składany pojemnik na odpadki"
"368179","","PL ","Nóż - chwytak do arbuza","PL Nóż - chwytak do arbuza"
"368503","<center>
<p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-4sgdzUEx8c"" frameborder=""0""></iframe></p>
</center>","PL <center>
<p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-4sgdzUEx8c"" frameborder=""0""></iframe></p>
</center>","Profesjonalny nóż do ananasa","PL Profesjonalny nóż do ananasa"
"4456","<p>Bardzo poręczny, w sam raz do umycia niedużej porcji owoców.</p>
<ul>
<li>Świetny także do odcedzania kukurydzy, groszku, fasoli z puszki</li>
<li>Z wygodnym uchwytem</li>
<li>Wykonany z solidnego tworzywa</li>
<li>Wysokość 7 cm</li>
</ul>","PL <p>Bardzo poręczny, w sam raz do umycia niedużej porcji owoców.</p>
<ul>
<li>Świetny także do odcedzania kukurydzy, groszku, fasoli z puszki</li>
<li>Z wygodnym uchwytem</li>
<li>Wykonany z solidnego tworzywa</li>
<li>Wysokość 7 cm</li>
</ul>","Mini durszlak Truskawka","PL Mini durszlak Truskawka"
"4349","<p>Idealna do krojenia pieczywa, owoców, warzyw i serwowania żywności.</p><ul><li>Wykonana z solidnego tworzywa</li><li>Z otworkiem do powieszenia</li><li>23 x 20,5 cm</li></ul>","PL <p>Idealna do krojenia pieczywa, owoców, warzyw i serwowania żywności.</p><ul><li>Wykonana z solidnego tworzywa</li><li>Z otworkiem do powieszenia</li><li>23 x 20,5 cm</li></ul>","Deska do krojenia - truskawka","PL Deska do krojenia - truskawka"
"4648","SEZON 06-07 2023","PL SEZON 06-07 2023","Pojemnik na przyprawy 5w1","PL Pojemnik na przyprawy 5w1"
"4546","<p>Wszechstronny zestaw pojemników różnej wielkości, ze szczelnymi pokrywkami w różnych kolorach.</p>
<ul>
<li>Do przechowywania żywności, marynowania mięsa, wyrastania ciasta drożdżowego</li>
<li>Największy pojemnik ma 6 litrów - doskonały jako miska do mieszania i przechowywania sałatki</li>
<li>Pojemność: 6 L, 4 L, 2,4 L, 1,5 L, 880 ml, 500 ml, 300 ml, 160 ml</li>
</ul>","PL <p>Wszechstronny zestaw pojemników różnej wielkości, ze szczelnymi pokrywkami w różnych kolorach.</p>
<ul>
<li>Do przechowywania żywności, marynowania mięsa, wyrastania ciasta drożdżowego</li>
<li>Największy pojemnik ma 6 litrów - doskonały jako miska do mieszania i przechowywania sałatki</li>
<li>Pojemność: 6 L, 4 L, 2,4 L, 1,5 L, 880 ml, 500 ml, 300 ml, 160 ml</li>
</ul>","Zestaw 8 pojemników z pokrywami","PL Zestaw 8 pojemników z pokrywami"
"4584","<p>Przezroczyste, stylowe pojemniki do przechowywania artykułów sypkich.</p>
<ul>
<li>W pokrywach mają dwa rodzaje otworów z przesuwanym zapięciem, by łatwiej dozować ilość produktu</li>
<li>Wykonane z solidnego tworzywa bez zawartości BPA</li>
<li>Pojemność: 600 ml, 800 ml i 1,2 litra</li>
</ul>","PL <p>Przezroczyste, stylowe pojemniki do przechowywania artykułów sypkich.</p>
<ul>
<li>W pokrywach mają dwa rodzaje otworów z przesuwanym zapięciem, by łatwiej dozować ilość produktu</li>
<li>Wykonane z solidnego tworzywa bez zawartości BPA</li>
<li>Pojemność: 600 ml, 800 ml i 1,2 litra</li>
</ul>","Zestaw pojemników na artykuły sypkie","PL Zestaw pojemników na artykuły sypkie"
"4577","<p>Bardzo eleganckie, pięknie prezentują się w kuchni.</p><ul><li>Szczelne pokrywy z silikonowymi uszczelkami umożliwiają przechowywanie produktów spożywczych bez dostępu powietrza</li><li>Wysoka jakość wykonania: ""przydymione"" tworzywo i metaliczne pokrywy nadają pojemnikom szykowny wygląd</li><li>Pojemność: 900 ml, 14 x 9,5 x 9,5 cm</li></ul>","PL <p>Bardzo eleganckie, pięknie prezentują się w kuchni.</p><ul><li>Szczelne pokrywy z silikonowymi uszczelkami umożliwiają przechowywanie produktów spożywczych bez dostępu powietrza</li><li>Wysoka jakość wykonania: ""przydymione"" tworzywo i metaliczne pokrywy nadają pojemnikom szykowny wygląd</li><li>Pojemność: 900 ml, 14 x 9,5 x 9,5 cm</li></ul>","Zestaw hermetycznych pojemników do żywności","PL Zestaw hermetycznych pojemników do żywności"
"4578","<p>Zatyczka chroni napój, a jednocześnie umożliwia nalewanie.</p><ul><li>Szykowny wzór nadaje karafce elegancki wygląd</li><li>Wykonana ze szkła, z nakładką z tworzywa</li><li>Pojemność 1 litr, wysokość 27 cm</li></ul>","PL <p>Zatyczka chroni napój, a jednocześnie umożliwia nalewanie.</p><ul><li>Szykowny wzór nadaje karafce elegancki wygląd</li><li>Wykonana ze szkła, z nakładką z tworzywa</li><li>Pojemność 1 litr, wysokość 27 cm</li></ul>","Karafka „Marmurek” 1litr","PL Karafka „Marmurek” 1litr"
"4579","<p>Oryginalna kolekcja, złożona z pojemników i karafki, podkreśli charakter Twojej kuchni.</p><ul><li>Przyciąga spojrzenia ciekawym, marmurkowym wzorem</li><li>Wysoka jakość wykonania i materiał - szkło - gwarantują trwałość użytkowania</li><li>Pojemność: 425 ml</li></ul>","PL <p>Oryginalna kolekcja, złożona z pojemników i karafki, podkreśli charakter Twojej kuchni.</p><ul><li>Przyciąga spojrzenia ciekawym, marmurkowym wzorem</li><li>Wysoka jakość wykonania i materiał - szkło - gwarantują trwałość użytkowania</li><li>Pojemność: 425 ml</li></ul>","Szklany pojemnik „Marmurek” 425ml","PL Szklany pojemnik „Marmurek” 425ml"
"4580","<p>Oryginalna kolekcja, złożona z pojemników i karafki, podkreśli charakter Twojej kuchni.</p><ul><li>Przyciąga spojrzenia ciekawym, marmurkowym wzorem</li><li>Wysoka jakość wykonania i materiał - szkło - gwarantują trwałość użytkowania</li><li>Pojemność: 660 ml</li></ul>","PL <p>Oryginalna kolekcja, złożona z pojemników i karafki, podkreśli charakter Twojej kuchni.</p><ul><li>Przyciąga spojrzenia ciekawym, marmurkowym wzorem</li><li>Wysoka jakość wykonania i materiał - szkło - gwarantują trwałość użytkowania</li><li>Pojemność: 660 ml</li></ul>","Szklany pojemnik „Marmurek” 660ml","PL Szklany pojemnik „Marmurek” 660ml"
"4581","<p>Oryginalna kolekcja, złożona z pojemników i karafki, podkreśli charakter Twojej kuchni.</p><ul><li>Przyciąga spojrzenia ciekawym, marmurkowym wzorem</li><li>Wysoka jakość wykonania i materiał - szkło - gwarantują trwałość użytkowania</li><li>Pojemność: 1 litr</li></ul>","PL <p>Oryginalna kolekcja, złożona z pojemników i karafki, podkreśli charakter Twojej kuchni.</p><ul><li>Przyciąga spojrzenia ciekawym, marmurkowym wzorem</li><li>Wysoka jakość wykonania i materiał - szkło - gwarantują trwałość użytkowania</li><li>Pojemność: 1 litr</li></ul>","Szklany pojemnik „Marmurek” 1000ml","PL Szklany pojemnik „Marmurek” 1000ml"
"4630","","PL ","Pojemnik zamykany 1 lt","PL Pojemnik zamykany 1 lt"
"4631","","PL ","Pojemnik zamykany 2 lt","PL Pojemnik zamykany 2 lt"
"4337","<ul><li>W dwóch różnych kształtach i rozmiarach: cztery kwadratowe, o pojemności 100 ml, oraz cztery w kształcie półksiężyca o pojemności 180 ml</li>
<li>Idealne do przechowywania przekąsek oraz resztek posiłków</li>
<li>Wykonane z solidnego tworzywa bez BPA.</li>
</ul>","PL <ul><li>W dwóch różnych kształtach i rozmiarach: cztery kwadratowe, o pojemności 100 ml, oraz cztery w kształcie półksiężyca o pojemności 180 ml</li>
<li>Idealne do przechowywania przekąsek oraz resztek posiłków</li>
<li>Wykonane z solidnego tworzywa bez BPA.</li>
</ul>","Zestaw 8 pojemników do żywności","PL Zestaw 8 pojemników do żywności"
"4506","<p>W pokrywce znajdują się trzy różne rodzaje otworków do sypania przypraw.</p>
<ul>
<li>Dzięki klasycznemu designowi pojemnik pasuje do każdego wystroju kuchni i stołu</li>
<li>Wykonany ze szkła, pokrywa z tworzywa</li>
<li>Pojemność: 245 ml, 15 x 6 cm</li>
</ul>","PL <p>W pokrywce znajdują się trzy różne rodzaje otworków do sypania przypraw.</p>
<ul>
<li>Dzięki klasycznemu designowi pojemnik pasuje do każdego wystroju kuchni i stołu</li>
<li>Wykonany ze szkła, pokrywa z tworzywa</li>
<li>Pojemność: 245 ml, 15 x 6 cm</li>
</ul>","Szklany pojemnik na przyprawy","PL Szklany pojemnik na przyprawy"
"4406","<p>Wykonany ze szkła, z dekoracyjną, uchylaną pokrywą z tworzywa i poręcznym uchwytem.</p>
<ul><li>300 ml</li>
</ul>","PL <p>Wykonany ze szkła, z dekoracyjną, uchylaną pokrywą z tworzywa i poręcznym uchwytem.</p>
<ul><li>300 ml</li>
</ul>","Pojemnik na przyprawy","PL Pojemnik na przyprawy"
"44161","","PL ","Mini pojemnik na przyprawy transparentno-szary","PL Mini pojemnik na przyprawy transparentno-szary"
"4598","<p>Ma oryginalny kształt oraz dekoracyjną nasadkę z pokrywką.</p><ul><li>Możesz postawić go na spodzie lub na boku</li><li>Łyżeczka w komplecie</li><li>Wykonany ze szkła, nasadka z tworzywa</li><li>Pojemność: 500 ml</li></ul>","PL <p>Ma oryginalny kształt oraz dekoracyjną nasadkę z pokrywką.</p><ul><li>Możesz postawić go na spodzie lub na boku</li><li>Łyżeczka w komplecie</li><li>Wykonany ze szkła, nasadka z tworzywa</li><li>Pojemność: 500 ml</li></ul>","Pojemnik na przyprawy 500ml, z łyżeczką, szklany, szary + ivory","PL Pojemnik na przyprawy 500ml, z łyżeczką, szklany, szary + ivory"
"4392","<p>Idealne do przechowywania całych warzyw lub pokrojonych na kawałki, a także niewielkich porcji sałatek.</p>
<ul>
<li>Możesz postawić je spodem do dołu lub odwrócić, by wykorzystać górę pojemnika jako miseczkę</li>
<li>12 x 12 x 7 cm</li>
</ul>","PL <p>Idealne do przechowywania całych warzyw lub pokrojonych na kawałki, a także niewielkich porcji sałatek.</p>
<ul>
<li>Możesz postawić je spodem do dołu lub odwrócić, by wykorzystać górę pojemnika jako miseczkę</li>
<li>12 x 12 x 7 cm</li>
</ul>","Pojemnik do przechowywania awokado","PL Pojemnik do przechowywania awokado"
"8473","","PL ","Pochłaniacz do lodówki 200 g","PL Pochłaniacz do lodówki 200 g"
"4393","<p>Idealne do przechowywania całych warzyw lub pokrojonych na kawałki, a także niewielkich porcji sałatek.</p>
<ul>
<li>Możesz postawić je spodem do dołu lub odwrócić, by wykorzystać górę pojemnika jako miseczkę</li>
<li>12 x 12 x 7 cm</li>
</ul>","PL <p>Idealne do przechowywania całych warzyw lub pokrojonych na kawałki, a także niewielkich porcji sałatek.</p>
<ul>
<li>Możesz postawić je spodem do dołu lub odwrócić, by wykorzystać górę pojemnika jako miseczkę</li>
<li>12 x 12 x 7 cm</li>
</ul>","Pojemnik do przechowywania cebula","PL Pojemnik do przechowywania cebula"
"4391","<p>Idealne do przechowywania całych warzyw lub pokrojonych na kawałki, a także niewielkich porcji sałatek.</p>
<ul>
<li>Możesz postawić je spodem do dołu lub odwrócić, by wykorzystać górę pojemnika jako miseczkę</li>
<li>12 x 12 x 7 cm</li>
</ul>","PL <p>Idealne do przechowywania całych warzyw lub pokrojonych na kawałki, a także niewielkich porcji sałatek.</p>
<ul>
<li>Możesz postawić je spodem do dołu lub odwrócić, by wykorzystać górę pojemnika jako miseczkę</li>
<li>12 x 12 x 7 cm</li>
</ul>","Pojemnik do przechowywania pomidor","PL Pojemnik do przechowywania pomidor"
"81751","","PL ","Antypleśniowa mata do lodówki","PL Antypleśniowa mata do lodówki"
"367869","<p>Doskonały pojemnik do przechowywania plasterków wędlin i serów w lodówce.</p>
<ul><li>Ze szczelną pokrywą, zapewnia świeżość przez dłuższy czas</li>
<li>Wykonany z tworzywa bez zawartości BPA, przeznaczonego do kontaktu z żywnością</li>
<li>Wymiary: 26 x 22 x 4 cm</li>
</ul>","PL <p>Doskonały pojemnik do przechowywania plasterków wędlin i serów w lodówce.</p>
<ul><li>Ze szczelną pokrywą, zapewnia świeżość przez dłuższy czas</li>
<li>Wykonany z tworzywa bez zawartości BPA, przeznaczonego do kontaktu z żywnością</li>
<li>Wymiary: 26 x 22 x 4 cm</li>
</ul>","Pojemnik na wędlinę i ser","PL Pojemnik na wędlinę i ser"
"4467","<p>Aby przekrojona cytryna dłużej zachowała soczystość oraz nie przeszła zapachami lodówki, przechowuj ją w tym pojemniku.</p><ul><li>Szczelnie zamykany, wykonany z mocnego tworzywa</li><li>10 x 8,5 x 8,5 cm</li></ul>","PL <p>Aby przekrojona cytryna dłużej zachowała soczystość oraz nie przeszła zapachami lodówki, przechowuj ją w tym pojemniku.</p><ul><li>Szczelnie zamykany, wykonany z mocnego tworzywa</li><li>10 x 8,5 x 8,5 cm</li></ul>","Pojemnik na cytrynę","PL Pojemnik na cytrynę"
"4544","<p>0,5 litra</p>","PL <p>0,5 litra</p>","Pojemnik do żywności 0,5 litra","PL Pojemnik do żywności 0,5 litra"
"4542","<p>1 litr</p>","PL <p>1 litr</p>","Pojemnik do żywności 1 litr","PL Pojemnik do żywności 1 litr"
"4543","<p>1,5 litra</p>","PL <p>1,5 litra</p>","Pojemnik do żywności 1,5 litra","PL Pojemnik do żywności 1,5 litra"
"4479","<p>Wygodnie podgrzejesz zupę lub napój w kubku w mikrofalówce.</p>
<ul>
<li>Wykonany z lekkiego tworzywa</li>
<li>Pojemność: 650 ml</li>
</ul>","PL <p>Wygodnie podgrzejesz zupę lub napój w kubku w mikrofalówce.</p>
<ul>
<li>Wykonany z lekkiego tworzywa</li>
<li>Pojemność: 650 ml</li>
</ul>","Kubek z pokrywką do mikrofalówki","PL Kubek z pokrywką do mikrofalówki"
"4625","","PL ","Pokrywka do mikrofali - średnica 26 cm","PL Pokrywka do mikrofali - średnica 26 cm"
"368402","<div class=""product-information""><div id=""product-description-short-1535""><p>Ugotujesz w nim warzywa, ryż, kaszę, makaron, a nawet gulasz lub inne dania jednogarnkowe!</p><ul><li>W zestawie z pokrywką, łyżką, miarką i instrukcją czasów gotowania.</li><li>Wymiary: 27 x 21 x 15,5 cm</li><li>Pojemność: 2 litry</li></ul></div></div>","PL <div class=""product-information""><div id=""product-description-short-1535""><p>Ugotujesz w nim warzywa, ryż, kaszę, makaron, a nawet gulasz lub inne dania jednogarnkowe!</p><ul><li>W zestawie z pokrywką, łyżką, miarką i instrukcją czasów gotowania.</li><li>Wymiary: 27 x 21 x 15,5 cm</li><li>Pojemność: 2 litry</li></ul></div></div>","Garnek-szybkowar do mikrofalówki","PL Garnek-szybkowar do mikrofalówki"
"4459","<p>Szybko i wygodnie przygotujesz sporą porcję zupy lub inne danie w mikrofalówce.</p>
<ul>
<li>Pokrywa zapinana na mocne zatrzaski</li>
<li>Poręczny uchwyt ułatwia wyjęcie miski</li>
<li>Wykonana z trwałego tworzywa bez BPA</li>
<li>Pojemność: 940 ml</li>
</ul>","PL <p>Szybko i wygodnie przygotujesz sporą porcję zupy lub inne danie w mikrofalówce.</p>
<ul>
<li>Pokrywa zapinana na mocne zatrzaski</li>
<li>Poręczny uchwyt ułatwia wyjęcie miski</li>
<li>Wykonana z trwałego tworzywa bez BPA</li>
<li>Pojemność: 940 ml</li>
</ul>","Miska do mikrofalówki","PL Miska do mikrofalówki"
"4645","","PL ","Worek do gotowania ziemniaków w mikrofali","PL Worek do gotowania ziemniaków w mikrofali"
"58462","<p>Usuwa lepki i tłusty brud oraz przypalone jedzenie. Skutecznie czyści nie tylko kuchenki mikrofalowe, ale także zlewozmywaki, okapy, płyty grzewcze. Możesz myć nią także blaty, meble kuchenne, glazurę.</p><p>Pozostawia połysk na czyszczonych powierzchniach, nie powoduje ich zarysowania. Nie wymaga ponownego zmywania wodą.</p><p>Pojemność: 500 ml</p>","PL <p>Usuwa lepki i tłusty brud oraz przypalone jedzenie. Skutecznie czyści nie tylko kuchenki mikrofalowe, ale także zlewozmywaki, okapy, płyty grzewcze. Możesz myć nią także blaty, meble kuchenne, glazurę.</p><p>Pozostawia połysk na czyszczonych powierzchniach, nie powoduje ich zarysowania. Nie wymaga ponownego zmywania wodą.</p><p>Pojemność: 500 ml</p>","Aktywna piana do czyszczenia mikrofalówek","PL Aktywna piana do czyszczenia mikrofalówek"
"2008","<ul><li>Intensywnie pachnące</li><li>Wydajne. pH neutralne</li><li>Łagodne dla skóry dłoni</li><li>Wygodne dozowanie</li><li>Pojemność: 300 ml</li></ul>","PL <ul><li>Intensywnie pachnące</li><li>Wydajne. pH neutralne</li><li>Łagodne dla skóry dłoni</li><li>Wygodne dozowanie</li><li>Pojemność: 300 ml</li></ul>","Pachnące mydło w płynie flower","PL Pachnące mydło w płynie flower"
"2010","<ul><li>Intensywnie pachnące</li><li>Wydajne. pH neutralne</li><li>Łagodne dla skóry dłoni</li><li>Wygodne dozowanie</li><li>Pojemność: 300 ml</li></ul>","PL <ul><li>Intensywnie pachnące</li><li>Wydajne. pH neutralne</li><li>Łagodne dla skóry dłoni</li><li>Wygodne dozowanie</li><li>Pojemność: 300 ml</li></ul>","Pachnące mydło w płynie Fruit","PL Pachnące mydło w płynie Fruit"
"2009","<ul><li>Intensywnie pachnące</li><li>Wydajne. pH neutralne</li><li>Łagodne dla skóry dłoni</li><li>Wygodne dozowanie</li><li>Pojemność: 300 ml</li></ul>","PL <ul><li>Intensywnie pachnące</li><li>Wydajne. pH neutralne</li><li>Łagodne dla skóry dłoni</li><li>Wygodne dozowanie</li><li>Pojemność: 300 ml</li></ul>","Pachnące mydło w płynie fresh","PL Pachnące mydło w płynie fresh"
"368515","<div class=""product-information""><div id=""product-description-short-1695"">Usuwa z dłoni mocną woń czosnku, cebuli, ryby. <br /><br /></div><ul><li>Wykonane ze stali nierdzewnej wysokiej jakości</li><li>Można myć je w zmywarce</li><li>Podstawka odprowadzająca wodę w zestawie</li></ul></div>","PL <div class=""product-information""><div id=""product-description-short-1695"">Usuwa z dłoni mocną woń czosnku, cebuli, ryby. <br /><br /></div><ul><li>Wykonane ze stali nierdzewnej wysokiej jakości</li><li>Można myć je w zmywarce</li><li>Podstawka odprowadzająca wodę w zestawie</li></ul></div>","Stalowe mydełko usuwające aromaty","PL Stalowe mydełko usuwające aromaty"
"2052","<p>Dzięki wydajnej recepturze i gęstej konsystencji dokładnie czyści i odtłuszcza zabrudzone naczynia.</p><ul><li>pH neutralne dla skóry</li><li>1 litr</li></ul>","PL <p>Dzięki wydajnej recepturze i gęstej konsystencji dokładnie czyści i odtłuszcza zabrudzone naczynia.</p><ul><li>pH neutralne dla skóry</li><li>1 litr</li></ul>","Płyn do mycia naczyń","PL Płyn do mycia naczyń"
"4345","<p>Bardziej trwały i higieniczny niż tradycyjne zmywaki kuchenne.</p>
<ul>
<li>Z wypustkami usuwającymi zabrudzenia z naczyń</li>
<li>Doskonały także jako łapka i podstawka pod gorące naczynia</li>
<li>Średnica: 10 cm</li>
</ul>","PL <p>Bardziej trwały i higieniczny niż tradycyjne zmywaki kuchenne.</p>
<ul>
<li>Z wypustkami usuwającymi zabrudzenia z naczyń</li>
<li>Doskonały także jako łapka i podstawka pod gorące naczynia</li>
<li>Średnica: 10 cm</li>
</ul>","Silikonowy zmywak do naczyń","PL Silikonowy zmywak do naczyń"
"2060","<p>Dzięki wydajnej recepturze i gęstej konsystencji dokładnie czyści i odtłuszcza brudne naczynia.</p><ul><li>500 ml</li></ul>","PL <p>Dzięki wydajnej recepturze i gęstej konsystencji dokładnie czyści i odtłuszcza brudne naczynia.</p><ul><li>500 ml</li></ul>","Płyn do mycia naczyń","PL Płyn do mycia naczyń"
